Arcos de Valdevez	41.8458289	-8.4192213	22847	Viana do Castelo
Caminha	41.8732082	-8.8378454	16684	Viana do Castelo
Melgaço	42.1143979	-8.2579735	9213	Viana do Castelo
Monção	42.0771855	-8.4819441	19230	Viana do Castelo
Paredes de Coura	41.913112	-8.5614378	9198	Viana do Castelo
Ponte da Barca	41.8060963	-8.416388	12061	Viana do Castelo
Ponte de Lima	41.7647333	-8.5827407	43498	Viana do Castelo
Valença	42.0268751	-8.6421522	14127	Viana do Castelo
Viana do Castelo	41.6918275	-8.8344101	88725	Viana do Castelo
Vila Nova de Cerveira	41.9428454	-8.7408025	9253	Viana do Castelo
Amares	41.630821	-8.356291	18889	Braga
Barcelos	41.5317419	-8.6178922	120391	Braga
Braga	41.5454486	-8.426507	181494	Braga
Esposende	41.5309169	-8.7805652	34254	Braga
Terras de Bouro	41.7167409	-8.3062444	7253	Braga
Vila Verde	41.6507161	-8.4332813	47888	Braga
Fafe	41.4508217	-8.1728619	50633	Braga
Guimarães	41.4427447	-8.2918809	158124	Braga
Póvoa de Lanhoso	41.5784784	-8.2689012	21886	Braga
Santo Tirso	41.3431376	-8.4738078	71530	Porto
Trofa	41.3390535	-8.5599893	38999	Porto
Vieira do Minho	41.6343218	-8.1416198	12997	Braga
Vila Nova de Famalicão	41.4111259	-8.5237319	133832	Braga
Vizela	41.3764108	-8.3098348	23736	Braga
Espinho	41.0071914	-8.6410332	31786	Aveiro
Gondomar	41.1399918	-8.5336525	168027	Porto
Maia	41.2278891	-8.621049	135306	Porto
Matosinhos	41.1844362	-8.6962775	175478	Porto
Porto	41.1566892	-8.6239254	237591	Porto
Póvoa de Varzim	41.3803685	-8.7609294	63408	Porto
Valongo	41.1887594	-8.498352	93858	Porto
Vila do Conde	41.3520794	-8.7472683	79533	Porto
Vila Nova de Gaia	41.1238759	-8.6117851	302295	Porto
Amarante	41.2696357	-8.0826488	56264	Porto
Baião	41.1617715	-8.035514	20522	Porto
Cabeceiras de Basto	41.5116939	-7.9979753	16710	Braga
Castelo de Paiva	41.0409444	-8.2714736	16733	Aveiro
Celorico de Basto	41.3869496	-8.0022034	20098	Braga
Cinfães	41.071713	-8.0898477	20427	Viseu
Felgueiras	41.3664104	-8.1971968	58065	Porto
Lousada	41.2774793	-8.2837376	47387	Porto
Marco de Canaveses	41.1845043	-8.1477551	53450	Porto
Mondim de Basto	41.4112348	-7.9526065	7493	Vila Real
Paços de Ferreira	41.2782034	-8.3734136	56340	Porto
Paredes	41.2051674	-8.3303867	86854	Porto
Penafiel	41.2052808	-8.2891305	72265	Porto
Resende	41.1062799	-7.9633321	11364	Viseu
Ribeira de Pena	41.5199011	-7.793851	6544	Vila Real
Arouca	40.9321489	-8.245099	22359	Aveiro
Oliveira de Azeméis	40.8387294	-8.4769763	68611	Aveiro
Santa Maria da Feira	40.926794	-8.5483247	139312	Aveiro
São João da Madeira	40.9005238	-8.4906716	21713	Aveiro
Vale de Cambra	40.8429643	-8.3956168	22864	Aveiro
Alijó	41.2772797	-7.4770302	11942	Vila Real
Armamar	41.1090606	-7.6932177	6297	Viseu
Carrazeda de Ansiães	41.2424538	-7.3078154	6373	Bragança
Freixo de Espada à Cinta	41.0900806	-6.8087993	3780	Bragança
Lamego	41.0953745	-7.8123805	26691	Viseu
Mesão Frio	41.1598648	-7.8899228	4433	Vila Real
Moimenta da Beira	40.9817183	-7.6139233	10212	Viseu
Penedono	40.9903208	-7.3943499	2952	Viseu
Peso da Régua	41.1655901	-7.7884809	17131	Vila Real
Sabrosa	41.2689661	-7.5752443	6361	Vila Real
Santa Marta de Penaguião	41.2098807	-7.7840719	7356	Vila Real
São João da Pesqueira	41.1477381	-7.4050533	7874	Viseu
Sernancelhe	40.8998417	-7.4900188	5671	Viseu
